| Elixir Name | Effect | Required Solutions | Magnitude | Duration | Strength |
| Dilute Elixir | Regenerate Stamina   | Mer Garlas,Ghartok,Agea Arden | 2.20 | 133 | Dilute |
| Potent Elixir | Regenerate Stamina   | Mer Garlas,Ghartok,Agea Arden | 11.30 | 675 | Potent |
| Concentrated Elixir | Regenerate Stamina   | Mer Garlas,Ghartok,Agea Arden | 16.90 | 1013 | Concentrated |
| Mild Elixir | Resist Fire   | Mer Garlas,Molag,Agea Arden | 3.00 | 60 | Mild |
| Potent Elixir | Resist Fire   | Mer Garlas,Molag,Agea Arden | 6.80 | 135 | Potent |
| Dilute Elixir | Resist Fire   | Mer Garlas,Molag,Agea Arden | 1.30 | 27 | Dilute |
| Concentrated Elixir | Resist Fire   | Mer Garlas,Molag,Agea Arden | 10.10 | 203 | Concentrated |
| Weak Elixir | Resist Fire   | Mer Garlas,Molag,Agea Arden | 2.00 | 40 | Weak |
| Strong Elixir | Resist Fire   | Mer Garlas,Molag,Agea Arden | 4.50 | 90 | Strong |
| Mild Elixir | Resist Frost   | Agea Arden,Mafre,Mer Garlas | 3.00 | 60 | Mild |
| Strong Elixir | Resist Frost   | Agea Arden,Mafre,Mer Garlas | 4.50 | 90 | Strong |
| Potent Elixir | Resist Frost   | Agea Arden,Mafre,Mer Garlas | 6.80 | 135 | Potent |
| Dilute Elixir | Resist Frost   | Agea Arden,Mafre,Mer Garlas | 1.30 | 27 | Dilute |
| Weak Elixir | Resist Frost   | Agea Arden,Mafre,Mer Garlas | 2.00 | 40 | Weak |
| Concentrated Elixir | Resist Frost   | Agea Arden,Mafre,Mer Garlas | 10.10 | 203 | Concentrated |
| Dilute Elixir | Resist Magic   | Agea Arden,Malatu Magicka,Mer Garlas | 0.40 | 27 | Dilute |
| Strong Elixir | Resist Magic   | Agea Arden,Malatu Magicka,Mer Garlas | 1.50 | 90 | Strong |
| Potent Elixir | Resist Magic   | Agea Arden,Malatu Magicka,Mer Garlas | 2.30 | 135 | Potent |
| Mild Elixir | Resist Magic   | Agea Arden,Malatu Magicka,Mer Garlas | 1.00 | 60 | Mild |
| Weak Elixir | Resist Magic   | Agea Arden,Malatu Magicka,Mer Garlas | 0.70 | 40 | Weak |
| Concentrated Elixir | Resist Magic   | Agea Arden,Malatu Magicka,Mer Garlas | 3.40 | 203 | Concentrated |
| Dilute Elixir | Resist Poison   | Agea Arden,Betaltadoon,Mer Garlas | 1.80 | 27 | Dilute |
| Potent Elixir | Resist Poison   | Agea Arden,Betaltadoon,Mer Garlas | 9.00 | 135 | Potent |
| Mild Elixir | Resist Poison   | Agea Arden,Betaltadoon,Mer Garlas | 4.00 | 60 | Mild |
| Weak Elixir | Resist Poison   | Agea Arden,Betaltadoon,Mer Garlas | 2.70 | 40 | Weak |
| Concentrated Elixir | Resist Poison   | Agea Arden,Betaltadoon,Mer Garlas | 13.50 | 203 | Concentrated |
| Strong Elixir | Resist Poison   | Agea Arden,Betaltadoon,Mer Garlas | 6.00 | 90 | Strong |
| Dilute Elixir | Resist Shock   | Agea Arden,Wel sa Belle,Mer Garlas | 1.30 | 27 | Dilute |
| Weak Elixir | Resist Shock   | Agea Arden,Wel sa Belle,Mer Garlas | 2.00 | 40 | Weak |
| Mild Elixir | Resist Shock   | Agea Arden,Wel sa Belle,Mer Garlas | 3.00 | 60 | Mild |
| Potent Elixir | Resist Shock   | Agea Arden,Wel sa Belle,Mer Garlas | 6.80 | 135 | Potent |
| Concentrated Elixir | Resist Shock   | Agea Arden,Wel sa Belle,Mer Garlas | 10.10 | 203 | Concentrated |
| Strong Elixir | Resist Shock   | Agea Arden,Wel sa Belle,Mer Garlas | 4.50 | 90 | Strong |
| Dilute Elixir | Restore Health   | Mora,Karan ry Ayammis,Ayammi | 1.30 | 0 | Dilute |
| Mild Elixir | Restore Health   | Mora,Karan ry Ayammis,Ayammi | 5.00 | 0 | Mild |
| Strong Elixir | Restore Health   | Mora,Karan ry Ayammis,Ayammi | 10.00 | 0 | Strong |
| Potent Elixir | Restore Health   | Mora,Karan ry Ayammis,Ayammi | 20.00 | 0 | Potent |
| Concentrated Elixir | Restore Health   | Mora,Karan ry Ayammis,Ayammi | 40.00 | 0 | Concentrated |
| Weak Elixir | Restore Health   | Mora,Karan ry Ayammis,Ayammi | 2.50 | 0 | Weak |
| Concentrated Elixir | Restore Magicka   | Mora,Agea,Ayammis | 40.00 | 0 | Concentrated |
| Weak Elixir | Restore Magicka   | Mora,Agea,Ayammis | 2.50 | 0 | Weak |
| Mild Elixir | Restore Magicka   | Mora,Agea,Ayammis | 5.00 | 0 | Mild |
| Potent Elixir | Restore Magicka   | Mora,Agea,Ayammis | 20.00 | 0 | Potent |
| Dilute Elixir | Restore Magicka   | Mora,Agea,Ayammis | 1.30 | 0 | Dilute |
| Strong Elixir | Restore Magicka   | Mora,Agea,Ayammis | 10.00 | 0 | Strong |
| Concentrated Elixir | Restore Stamina   | Mora,Agea,Ayammis | 40.00 | 0 | Concentrated |
| Strong Elixir | Restore Stamina   | Mora,Agea,Ayammis | 10.00 | 0 | Strong |
| Mild Elixir | Restore Stamina   | Mora,Agea,Ayammis | 5.00 | 0 | Mild |
| Potent Elixir | Restore Stamina   | Mora,Agea,Ayammis | 20.00 | 0 | Potent |
| Weak Elixir | Restore Stamina   | Mora,Agea,Ayammis | 2.50 | 0 | Weak |
| Dilute Elixir | Restore Stamina   | Mora,Agea,Ayammis | 1.30 | 0 | Dilute |
| Concentrated Elixir | Tardiness | Mer Garlas,Karan Kogo,Betayammis | 50.00 | 40 | Concentrated |
| Dilute Elixir | Tardiness | Mer Garlas,Karan Kogo,Betayammis | 50.00 | 1 | Dilute |
| Weak Elixir | Tardiness | Mer Garlas,Karan Kogo,Betayammis | 50.00 | 3 | Weak |
| Potent Elixir | Tardiness | Mer Garlas,Karan Kogo,Betayammis | 50.00 | 20 | Potent |
| Mild Elixir | Tardiness | Mer Garlas,Karan Kogo,Betayammis | 50.00 | 2 | Mild |
| Strong Elixir | Tardiness | Mer Garlas,Karan Kogo,Betayammis | 50.00 | 10 | Strong |
| Dilute Elixir | Waterbreathing  | Agea Arden,Relleis,Mer Garlas | 0.00 | 1 | Dilute |
| Concentrated Elixir | Waterbreathing  | Agea Arden,Relleis,Mer Garlas | 0.00 | 40 | Concentrated |
| Mild Elixir | Waterbreathing  | Agea Arden,Relleis,Mer Garlas | 0.00 | 5 | Mild |
| Weak Elixir | Waterbreathing  | Agea Arden,Relleis,Mer Garlas | 0.00 | 2 | Weak |
| Strong Elixir | Waterbreathing  | Agea Arden,Relleis,Mer Garlas | 0.00 | 10 | Strong |
| Potent Elixir | Waterbreathing  | Agea Arden,Relleis,Mer Garlas | 0.00 | 20 | Potent |
| Weak Elixir | Weakness to Fire   | Mer Garlas,Molag,Altadoon ry Bet | 2.00 | 20 | Weak |
| Mild Elixir | Weakness to Fire   | Mer Garlas,Molag,Altadoon ry Bet | 3.00 | 30 | Mild |
| Potent Elixir | Weakness to Fire   | Mer Garlas,Molag,Altadoon ry Bet | 6.80 | 68 | Potent |
| Concentrated Elixir | Weakness to Fire   | Mer Garlas,Molag,Altadoon ry Bet | 10.10 | 101 | Concentrated |
| Dilute Elixir | Weakness to Fire   | Mer Garlas,Molag,Altadoon ry Bet | 1.30 | 13 | Dilute |
| Strong Elixir | Weakness to Fire   | Mer Garlas,Molag,Altadoon ry Bet | 4.50 | 45 | Strong |
| Concentrated Elixir | Weakness to Frost   | Altadoon ry Bet,Mafre,Mer Garlas | 10.10 | 101 | Concentrated |
| Dilute Elixir | Weakness to Frost   | Altadoon ry Bet,Mafre,Mer Garlas | 1.30 | 13 | Dilute |
| Weak Elixir | Weakness to Frost   | Altadoon ry Bet,Mafre,Mer Garlas | 2.00 | 20 | Weak |
| Strong Elixir | Weakness to Frost   | Altadoon ry Bet,Mafre,Mer Garlas | 4.50 | 45 | Strong |
| Mild Elixir | Weakness to Frost   | Altadoon ry Bet,Mafre,Mer Garlas | 3.00 | 30 | Mild |
| Potent Elixir | Weakness to Frost   | Altadoon ry Bet,Mafre,Mer Garlas | 6.80 | 68 | Potent |
| Mild Elixir | Weakness to Magic   | Altadoon ry Bet,Malatu Magicka,Mer Garlas | 2.00 | 30 | Mild |
| Concentrated Elixir | Weakness to Magic   | Altadoon ry Bet,Malatu Magicka,Mer Garlas | 6.80 | 101 | Concentrated |
| Weak Elixir | Weakness to Magic   | Altadoon ry Bet,Malatu Magicka,Mer Garlas | 1.30 | 20 | Weak |
| Potent Elixir | Weakness to Magic   | Altadoon ry Bet,Malatu Magicka,Mer Garlas | 4.50 | 68 | Potent |
| Dilute Elixir | Weakness to Magic   | Altadoon ry Bet,Malatu Magicka,Mer Garlas | 0.90 | 13 | Dilute |
| Strong Elixir | Weakness to Magic   | Altadoon ry Bet,Malatu Magicka,Mer Garlas | 3.00 | 45 | Strong |
| Potent Elixir | Weakness to Poison   | Altadoon ry Bet,Betaltadoon,Mer Garlas | 4.50 | 68 | Potent |
| Dilute Elixir | Weakness to Poison   | Altadoon ry Bet,Betaltadoon,Mer Garlas | 0.90 | 13 | Dilute |
| Mild Elixir | Weakness to Poison   | Altadoon ry Bet,Betaltadoon,Mer Garlas | 2.00 | 30 | Mild |
| Concentrated Elixir | Weakness to Poison   | Altadoon ry Bet,Betaltadoon,Mer Garlas | 6.80 | 101 | Concentrated |
| Strong Elixir | Weakness to Poison   | Altadoon ry Bet,Betaltadoon,Mer Garlas | 3.00 | 45 | Strong |
| Weak Elixir | Weakness to Poison   | Altadoon ry Bet,Betaltadoon,Mer Garlas | 1.30 | 20 | Weak |
| Dilute Elixir | Weakness to Shock   | Altadoon ry Bet,Wel sa Belle,Mer Garlas | 1.30 | 13 | Dilute |
| Potent Elixir | Weakness to Shock   | Altadoon ry Bet,Wel sa Belle,Mer Garlas | 6.80 | 68 | Potent |
| Mild Elixir | Weakness to Shock   | Altadoon ry Bet,Wel sa Belle,Mer Garlas | 3.00 | 30 | Mild |
| Strong Elixir | Weakness to Shock   | Altadoon ry Bet,Wel sa Belle,Mer Garlas | 4.50 | 45 | Strong |
| Concentrated Elixir | Weakness to Shock   | Altadoon ry Bet,Wel sa Belle,Mer Garlas | 10.10 | 101 | Concentrated |
| Weak Elixir | Weakness to Shock   | Altadoon ry Bet,Wel sa Belle,Mer Garlas | 2.00 | 20 | Weak |

