Produced Item Name,Crafting WorkBench,Qty Made,Perks Needed,Proximity (When None),Items Required,Additional Requirements
Cooked Mammoth Meat,Player Crafting,10,,Any Fire Source,10 Raw Mammoth Meat,
Cooked Mammoth Meat,Player Crafting,1,,Player Crafting,1 Raw Mammoth Meat,
Cooked Mammoth Meat,Cook pot,5,,Cook pot,5 Raw Mammoth Meat,
Cooked Mammoth Meat,Player Crafting,10,,Player Crafting,10 Raw Mammoth Meat,
Cooked Mammoth Meat,Cook pot,20,,Cook pot,20 Raw Mammoth Meat,
Cooked Mammoth Meat,Player Crafting,5,,Any Fire Source,5 Raw Mammoth Meat,
Cooked Mammoth Meat,Player Crafting,20,,Any Fire Source,20 Raw Mammoth Meat,
Cooked Mammoth Meat,Player Crafting,1,,Any Fire Source,1 Raw Mammoth Meat,
Cooked Mammoth Meat,Cook pot,10,,Cook pot,10 Raw Mammoth Meat,
Cooked Mammoth Meat,Player Crafting,20,,Player Crafting,20 Raw Mammoth Meat,
Cooked Mammoth Meat,Player Crafting,5,,Player Crafting,5 Raw Mammoth Meat,
Cooked Mammoth Meat,Cook pot,1,,Cook pot,1 Raw Mammoth Meat,
Cooked Mammoth Snout,Player Crafting,1,,Any Fire Source,1 Raw Mammoth Snout,
Cooked Mammoth Snout,Player Crafting,1,,Player Crafting,1 Raw Mammoth Snout,
Cooked Mammoth Snout,Cook pot,1,,Cook pot,1 Raw Mammoth Snout,
Cooked Mudcrab,Cook pot,10,,Cook pot,10 Raw Mudcrab Meat,
Cooked Mudcrab,Player Crafting,5,,Player Crafting,5 Raw Mudcrab Meat,
Cooked Mudcrab,Player Crafting,5,,Any Fire Source,5 Raw Mudcrab Meat,
Cooked Mudcrab,Cook pot,5,,Cook pot,5 Raw Mudcrab Meat,
Cooked Mudcrab,Player Crafting,1,,Any Fire Source,1 Raw Mudcrab Meat,
Cooked Mudcrab,Player Crafting,10,,Player Crafting,10 Raw Mudcrab Meat,
Cooked Mudcrab,Cook pot,20,,Cook pot,20 Raw Mudcrab Meat,
Cooked Mudcrab,Player Crafting,20,,Player Crafting,20 Raw Mudcrab Meat,
Cooked Mudcrab,Player Crafting,1,,Player Crafting,1 Raw Mudcrab Meat,
Cooked Mudcrab,Player Crafting,20,,Any Fire Source,20 Raw Mudcrab Meat,
Cooked Mudcrab,Player Crafting,10,,Any Fire Source,10 Raw Mudcrab Meat,
Cooked Mudcrab,Cook pot,1,,Cook pot,1 Raw Mudcrab Meat,
Cooked Mudcrab Legs,Player Crafting,1,,Player Crafting,1 Raw Mudcrab Legs,
Cooked Mudcrab Legs,Player Crafting,5,,Player Crafting,5 Raw Mudcrab Legs,
Cooked Mudcrab Legs,Player Crafting,5,,Any Fire Source,5 Raw Mudcrab Legs,
Cooked Mudcrab Legs,Player Crafting,1,,Any Fire Source,1 Raw Mudcrab Legs,
Cooked Mudcrab Legs,Cook pot,5,,Cook pot,5 Raw Mudcrab Legs,
Cooked Mudcrab Legs,Cook pot,1,,Cook pot,1 Raw Mudcrab Legs,
Cooked Pearlfish,Player Crafting,1,,Player Crafting,1 Pearlfish,
Cooked Pearlfish,Player Crafting,1,,Any Fire Source,1 Pearlfish,
Cooked Pearlfish,Cook pot,1,,Cook pot,1 Pearlfish,
Cooked Pheasant Breast,Player Crafting,1,,Player Crafting,1 Raw Pheasant Breast,
Cooked Pheasant Breast,Player Crafting,1,,Any Fire Source,1 Raw Pheasant Breast,
Cooked Pheasant Breast,Cook pot,1,,Cook pot,1 Raw Pheasant Breast,
Cooked Pogfish,Player Crafting,1,,Player Crafting,1 Raw Pogfish,
Cooked Pogfish,Player Crafting,1,,Any Fire Source,1 Raw Pogfish,
Cooked Pogfish,Cook pot,1,,Cook pot,1 Raw Pogfish,
Cooked Potatoes,Player Crafting,1,,Player Crafting,1 Potato,
Cooked Potatoes,Player Crafting,1,,Any Fire Source,1 Potato,
Cooked Potatoes,Cook pot,1,,Cook pot,1 Potato,
Cooked Pygmy Sunfish,Player Crafting,1,,Any Fire Source,1 Pygmy Sunfish,
Cooked Pygmy Sunfish,Player Crafting,1,,Player Crafting,1 Pygmy Sunfish,
Cooked Pygmy Sunfish,Cook pot,1,,Cook pot,1 Pygmy Sunfish,
Cooked Rabbit Leg,Player Crafting,1,,Player Crafting,1 Raw Rabbit Leg,
Cooked Rabbit Leg,Player Crafting,1,,Any Fire Source,1 Raw Rabbit Leg,
Cooked Rabbit Leg,Cook pot,1,,Cook pot,1 Raw Rabbit Leg,
Cooked Rabbit Meat,Player Crafting,1,,Any Fire Source,1 Raw Rabbit Meat,
Cooked Rabbit Meat,Player Crafting,1,,Player Crafting,1 Raw Rabbit Meat,
Cooked Rabbit Meat,Cook pot,1,,Cook pot,1 Raw Rabbit Meat,
Cooked Sabre Cat Meat,Player Crafting,10,,Any Fire Source,10 Raw Sabre Cat Meat,
Cooked Sabre Cat Meat,Player Crafting,10,,Player Crafting,10 Raw Sabre Cat Meat,
Cooked Sabre Cat Meat,Cook pot,5,,Cook pot,5 Raw Sabre Cat Meat,
Cooked Sabre Cat Meat,Player Crafting,5,,Player Crafting,5 Raw Sabre Cat Meat,
Cooked Sabre Cat Meat,Player Crafting,5,,Any Fire Source,5 Raw Sabre Cat Meat,
Cooked Sabre Cat Meat,Player Crafting,20,,Player Crafting,20 Raw Sabre Cat Meat,
Cooked Sabre Cat Meat,Cook pot,10,,Cook pot,10 Raw Sabre Cat Meat,
Cooked Sabre Cat Meat,Player Crafting,1,,Player Crafting,1 Raw Sabre Cat Meat,
Cooked Sabre Cat Meat,Cook pot,20,,Cook pot,20 Raw Sabre Cat Meat,
Cooked Sabre Cat Meat,Player Crafting,20,,Any Fire Source,20 Raw Sabre Cat Meat,
Cooked Sabre Cat Meat,Player Crafting,1,,Any Fire Source,1 Raw Sabre Cat Meat,
Cooked Sabre Cat Meat,Cook pot,1,,Cook pot,1 Raw Sabre Cat Meat,
Cooked Salmon Steak,Player Crafting,2,,Any Fire Source,1 Raw Salmon,
Cooked Salmon Steak,Player Crafting,1,,Any Fire Source,1 Raw Salmon Steak,
Cooked Salmon Steak,Player Crafting,1,,Player Crafting,1 Raw Salmon Steak,
Cooked Salmon Steak,Player Crafting,2,,Player Crafting,1 Raw Salmon,
Cooked Salmon Steak,Cook pot,1,,Cook pot,1 Raw Salmon Steak,
Cooked Salmon Steak,Cook pot,2,,Cook pot,1 Raw Salmon,
Cooked Scorpion Fish,Player Crafting,1,,Any Fire Source,1 Raw Scorpion Fish,
Cooked Scorpion Fish,Player Crafting,1,,Player Crafting,1 Raw Scorpion Fish,
Cooked Scorpion Fish,Cook pot,1,,Cook pot,1 Raw Scorpion Fish,
Cooked Skeever Meat,Player Crafting,1,,Player Crafting,1 Raw Skeever Meat,
Cooked Skeever Meat,Player Crafting,1,,Any Fire Source,1 Raw Skeever Meat,
Cooked Skeever Meat,Cook pot,1,,Cook pot,1 Raw Skeever Meat,
Cooked Slaughterfish,Player Crafting,3,,Player Crafting,1 Raw Slaughterfish,
Cooked Slaughterfish,Player Crafting,3,,Any Fire Source,1 Raw Slaughterfish,
Cooked Slaughterfish,Cook pot,3,,Cook pot,1 Raw Slaughterfish,
Cooked Spadefish,Player Crafting,1,,Any Fire Source,1 Spadefish,
Cooked Spadefish,Player Crafting,1,,Player Crafting,1 Spadefish,
Cooked Spadefish,Cook pot,1,,Cook pot,1 Spadefish,
Cooked Spider Meat,Player Crafting,5,,Any Fire Source,5 Raw Spider Meat,
Cooked Spider Meat,Player Crafting,1,,Any Fire Source,1 Raw Spider Meat,
Cooked Spider Meat,Player Crafting,5,,Player Crafting,5 Raw Spider Meat,
Cooked Spider Meat,Cook pot,5,,Cook pot,5 Raw Spider Meat,
Cooked Spider Meat,Player Crafting,1,,Player Crafting,1 Raw Spider Meat,
Cooked Spider Meat,Cook pot,1,,Cook pot,1 Raw Spider Meat,
Cooked Tripod Spiderfish,Player Crafting,1,,Any Fire Source,1 Raw Tripod Spiderfish,
Cooked Tripod Spiderfish,Player Crafting,1,,Player Crafting,1 Raw Tripod Spiderfish,
Cooked Tripod Spiderfish,Cook pot,1,,Cook pot,1 Raw Tripod Spiderfish,
Cooked Troll Meat,Player Crafting,10,,Any Fire Source,10 Raw Troll Meat,
Cooked Troll Meat,Player Crafting,20,,Player Crafting,20 Raw Troll Meat,
Cooked Troll Meat,Cook pot,20,,Cook pot,20 Raw Troll Meat,
Cooked Troll Meat,Player Crafting,1,,Any Fire Source,1 Raw Troll Meat,
Cooked Troll Meat,Cook pot,5,,Cook pot,5 Raw Troll Meat,
Cooked Troll Meat,Player Crafting,5,,Player Crafting,5 Raw Troll Meat,
Cooked Troll Meat,Player Crafting,1,,Player Crafting,1 Raw Troll Meat,
Cooked Troll Meat,Player Crafting,5,,Any Fire Source,5 Raw Troll Meat,
Cooked Troll Meat,Player Crafting,10,,Player Crafting,10 Raw Troll Meat,
Cooked Troll Meat,Player Crafting,20,,Any Fire Source,20 Raw Troll Meat,
Cooked Troll Meat,Cook pot,10,,Cook pot,10 Raw Troll Meat,
Cooked Troll Meat,Cook pot,1,,Cook pot,1 Raw Troll Meat,
Cooked Vampire Fish,Player Crafting,1,,Player Crafting,1 Raw Vampire Fish,
Cooked Vampire Fish,Player Crafting,1,,Any Fire Source,1 Raw Vampire Fish,
Cooked Vampire Fish,Cook pot,1,,Cook pot,1 Raw Vampire Fish,
Cooked Venison,Player Crafting,1,,Any Fire Source,1 Raw Venison,
Cooked Venison,Player Crafting,1,,Player Crafting,1 Raw Venison,
Cooked Venison,Player Crafting,5,,Any Fire Source,5 Raw Venison,
Cooked Venison,Player Crafting,5,,Player Crafting,5 Raw Venison,
Cooked Venison,Cook pot,5,,Cook pot,5 Raw Venison,
Cooked Venison,Cook pot,1,,Cook pot,1 Raw Venison,
Cooked Wolf Meat,Cook pot,10,,Cook pot,10 Raw Wolf Meat,
Cooked Wolf Meat,Player Crafting,5,,Player Crafting,5 Raw Wolf Meat,
Cooked Wolf Meat,Player Crafting,5,,Any Fire Source,5 Raw Wolf Meat,
Cooked Wolf Meat,Player Crafting,20,,Any Fire Source,20 Raw Wolf Meat,
Cooked Wolf Meat,Cook pot,5,,Cook pot,5 Raw Wolf Meat,
Cooked Wolf Meat,Cook pot,20,,Cook pot,20 Raw Wolf Meat,
Cooked Wolf Meat,Player Crafting,20,,Player Crafting,20 Raw Wolf Meat,
Cooked Wolf Meat,Player Crafting,10,,Player Crafting,10 Raw Wolf Meat,
Cooked Wolf Meat,Player Crafting,1,,Player Crafting,1 Raw Wolf Meat,
Cooked Wolf Meat,Player Crafting,1,,Any Fire Source,1 Raw Wolf Meat,
Cooked Wolf Meat,Player Crafting,10,,Any Fire Source,10 Raw Wolf Meat,
Cooked Wolf Meat,Cook pot,1,,Cook pot,1 Raw Wolf Meat,
Copper Amber Circlet,Forge,1,Advanced Blacksmithing,Forge,3 Gem: Amber 1 Copper Circlet,
Copper Amethyst Circlet,Forge,1,Advanced Blacksmithing,Forge,3 Gem: Amethyst 1 Copper Circlet,
Copper Amethyst Circlet (Flawless),Forge,1,Advanced Blacksmithing,Forge,3 Gem: Amethyst (Flawless) 1 Copper Circlet,
Copper Aquamarine Circlet,Forge,1,Advanced Blacksmithing,Forge,3 Gem: Aquamarine 1 Copper Circlet,
Copper Aquamarine Circlet (Flawless),Forge,1,Advanced Blacksmithing,Forge,3 Gem: Aquamarine (Flawless) 1 Copper Circlet,
Copper Circlet,Forge,1,Advanced Blacksmithing,Forge,1 Ingot: Corundum,
Copper Diamond Circlet,Forge,1,Advanced Blacksmithing,Forge,3 Gem: Diamond 1 Copper Circlet,
Copper Diamond Circlet (Flawless),Forge,1,Advanced Blacksmithing,Forge,3 Gem: Diamond (Flawless) 1 Copper Circlet,
Copper Emerald Circlet,Forge,1,Advanced Blacksmithing,Forge,3 Gem: Emerald 1 Copper Circlet,
Copper Emerald Circlet (Flawless),Forge,1,Advanced Blacksmithing,Forge,3 Gem: Emerald (Flawless) 1 Copper Circlet,
Copper Garnet Circlet,Forge,1,Advanced Blacksmithing,Forge,3 Gem: Garnet 1 Copper Circlet,
Copper Garnet Circlet (Flawless),Forge,1,Advanced Blacksmithing,Forge,3 Gem: Garnet (Flawless) 1 Copper Circlet,
Copper Onyx Circlet,Forge,1,Advanced Blacksmithing,Forge,3 Gem: Onyx 1 Copper Circlet,
Copper Opal Circlet,Forge,1,Advanced Blacksmithing,Forge,3 Gem: Opal 1 Copper Circlet,
Copper Peridot Circlet,Forge,1,Advanced Blacksmithing,Forge,3 Gem: Peridot 1 Copper Circlet,
Copper Peridot Circlet (Flawless),Forge,1,Advanced Blacksmithing,Forge,3 Gem: Peridot (Flawless) 1 Copper Circlet,
Copper Ruby Circlet,Forge,1,Advanced Blacksmithing,Forge,3 Gem: Ruby 1 Copper Circlet,
Copper Ruby Circlet (Flawless),Forge,1,Advanced Blacksmithing,Forge,3 Gem: Ruby (Flawless) 1 Copper Circlet,
Copper Sapphire Circlet,Forge,1,Advanced Blacksmithing,Forge,3 Gem: Sapphire 1 Copper Circlet,
Copper Sapphire Circlet (Flawless),Forge,1,Advanced Blacksmithing,Forge,3 Gem: Sapphire (Flawless) 1 Copper Circlet,
Cotton Boots - Thalmor,Player Crafting,1,Craftsmanship,Player Crafting,2 Cotton Thread 3 Cotton Cloth - Black,
Cotton Cloth,Cook pot,1,,Cook pot,1 Salt 1 Cotton Cloth - Grey,
Cotton Cloth,Cook pot,1,,Cook pot,1 Salt 1 Cotton Cloth - Black,
Cotton Cloth,Cook pot,1,,Cook pot,1 Salt 1 Cotton Cloth - Orange,
Cotton Cloth,Cook pot,1,,Cook pot,1 Salt 1 Cotton Cloth - Blue,
Cotton Cloth,Cook pot,1,,Cook pot,1 Salt 1 Cotton Cloth - Tan,
Cotton Cloth,Cook pot,1,,Cook pot,1 Salt 1 Cotton Cloth - Indigo,
Cotton Cloth,Spinning Wheel,1,Craftsmanship,Spinning Wheel,3 Tundra Cotton,
Cotton Cloth,Cook pot,1,,Cook pot,1 Salt 1 Cotton Cloth - Red,
Cotton Cloth,Cook pot,1,,Cook pot,1 Salt 1 Cotton Cloth - Yellow,
Cotton Cloth,Cook pot,1,,Cook pot,1 Salt 1 Cotton Cloth - Green,
Cotton Cloth,Cook pot,1,,Cook pot,1 Salt 1 Cotton Cloth - Brown,
Cotton Cloth,Cook pot,1,,Cook pot,1 Salt 1 Cotton Cloth - Purple,
Cotton Cloth - Black,Breakdown,2,,Breakdown,1 Cotton Robes - Thalmor,
Cotton Cloth - Black,Breakdown,1,,Breakdown,1 Cotton Jester's Boots,
Cotton Cloth - Black,Breakdown,1,,Breakdown,1 Focusing Gloves,
Cotton Cloth - Black,Breakdown,1,,Breakdown,1 Cotton Boots - Thalmor,
Cotton Cloth - Black,Breakdown,1,,Breakdown,1 Cotton Jester's Gloves,
Cotton Cloth - Black,Breakdown,1,,Breakdown,1 Cotton Cuffed Boots,
Cotton Cloth - Black,Breakdown,1,,Breakdown,1 Cotton Jester's Gloves,
Cotton Cloth - Black,Breakdown,2,,Breakdown,1 Cotton Robes - Thalmor,
Cotton Cloth - Black,Breakdown,1,,Breakdown,1 Cotton Mage Hood - Embellished,
Cotton Cloth - Black,Breakdown,1,,Breakdown,1 Cotton Gloves - Thalmor,
Cotton Cloth - Black,Breakdown,1,,Breakdown,1 Cotton Jester's Boots,
Cotton Cloth - Black,Breakdown,1,,Breakdown,1 Cotton Mage Hood of Apprentice Regeneration,
Cotton Cloth - Black,Cook pot,1,Craftsmanship,Cook pot,1 Cotton Cloth 1 Dye - Black,
Cotton Cloth - Black,Breakdown,2,,Breakdown,1 Cotton Quilted Clothes - Black and White,
Cotton Cloth - Black,Breakdown,1,,Breakdown,1 Cotton Hood - Thalmor,
Cotton Cloth - Blue,Breakdown,1,,Breakdown,1 Cotton Mage Robes of Novice Regeneration,
Cotton Cloth - Blue,Breakdown,1,,Breakdown,1 Cotton Reclamations Temple Robes,
Cotton Cloth - Blue,Breakdown,1,,Breakdown,1 Cotton Mage Robes - Common,
Cotton Cloth - Blue,Cook pot,1,Craftsmanship,Cook pot,1 Cotton Cloth 1 Dye - Blue,
Cotton Cloth - Blue,Breakdown,1,,Breakdown,1 Cotton Fur-Mantled Clothes - Blue,
Cotton Cloth - Blue,Breakdown,1,,Breakdown,1 Cotton Mage Robes - Embellished,
Cotton Cloth - Blue,Breakdown,1,,Breakdown,1 Cotton Reclamations Temple Robes,
Cotton Cloth - Blue,Breakdown,1,,Breakdown,1 Cotton Reclamations Temple Hood,
Cotton Cloth - Brown,Breakdown,1,,Breakdown,1 Cotton Mage Hood - Embroidered,
Cotton Cloth - Brown,Breakdown,2,,Breakdown,1 Cotton Quilted Clothes - Brown and White,
Cotton Cloth - Brown,Cook pot,1,Craftsmanship,Cook pot,1 Cotton Cloth 1 Dye - Brown,
Cotton Cloth - Brown,Breakdown,1,,Breakdown,1 Cotton Mage Robes - Embroidered,
Cotton Cloth - Brown,Breakdown,2,,Breakdown,1 Cotton Quilted Clothes - Brown and Orange,
Cotton Cloth - Brown,Breakdown,2,,Breakdown,1 Cotton Quilted Clothes - Orange,
Cotton Cloth - Brown,Breakdown,1,,Breakdown,1 Cotton Cultist Boots,
Cotton Cloth - Brown,Breakdown,1,,Breakdown,1 Cotton Merchant's Hat,
Cotton Cloth - Brown,Breakdown,2,,Breakdown,1 Cotton Fine Clothes - Brown,
Cotton Cloth - Brown,Breakdown,1,,Breakdown,1 Cotton Shoes - Mythic Dawn,
Cotton Cloth - Brown,Breakdown,2,,Breakdown,1 Cotton Cultist Robes,
Cotton Cloth - Brown,Breakdown,1,,Breakdown,1 Cotton Fine Shoes,
Cotton Cloth - Brown,Breakdown,1,,Breakdown,1 Cotton Fine Hat,
Cotton Cloth - Brown,Breakdown,1,,Breakdown,1 Cotton Cultist Gloves,
Cotton Cloth - Brown,Breakdown,1,,Breakdown,1 Cotton Fine Boots,
Cotton Cloth - Brown,Breakdown,1,,Breakdown,1 Cotton Reclamations Temple Boots,
Cotton Cloth - Brown,Breakdown,2,,Breakdown,1 Cotton Cultist Robes,
Cotton Cloth - Brown,Breakdown,1,,Breakdown,1 Cotton Mage Hood of Adept Magicka,
Cotton Cloth - Brown,Breakdown,1,,Breakdown,1 Cotton Telvanni Shoes,
Cotton Cloth - Brown,Breakdown,1,,Breakdown,1 Cotton Telvanni Shoes of Shock Resistance,
Cotton Cloth - Green,Cook pot,1,Craftsmanship,Cook pot,1 Cotton Cloth 1 Dye - Green,
Cotton Cloth - Green,Breakdown,2,,Breakdown,1 Cotton Fur-Mantled Clothes - Green,
Cotton Cloth - Grey,Breakdown,1,,Breakdown,1 Greybeard's Shoes,
Cotton Cloth - Grey,Breakdown,1,,Breakdown,1 Cotton Mage Boots - Embellished,
Cotton Cloth - Grey,Cook pot,1,Craftsmanship,Cook pot,1 Cotton Cloth 1 Dye - Grey,
Cotton Cloth - Grey,Breakdown,2,,Breakdown,1 Greybeard's Robes,
Cotton Cloth - Grey,Breakdown,1,,Breakdown,1 Greybeard's Hood,
Cotton Cloth - Grey,Breakdown,1,,Breakdown,1 Cotton Mage Boots - Common,
Cotton Cloth - Indigo,Cook pot,1,Craftsmanship,Cook pot,1 Cotton Cloth 1 Dye - Indigo,
Cotton Cloth - Indigo,Breakdown,2,,Breakdown,1 Cotton Fine Clothes - Indigo,
Cotton Cloth - Indigo,Breakdown,1,,Breakdown,1 Cotton Quilted Clothes - Blue,
Cotton Cloth - Orange,Cook pot,1,Craftsmanship,Cook pot,1 Cotton Cloth 1 Dye - Orange,
Cotton Cloth - Orange,Breakdown,2,,Breakdown,1 Cotton Quilted Clothes - Orange and Black,
Cotton Cloth - Purple,Breakdown,2,,Breakdown,1 Cotton Vaermina Robes,
Cotton Cloth - Purple,Breakdown,1,,Breakdown,1 Satchel,
Cotton Cloth - Purple,Cook pot,1,Craftsmanship,Cook pot,1 Cotton Cloth 1 Dye - Purple,
Cotton Cloth - Red,Cook pot,1,Craftsmanship,Cook pot,1 Cotton Cloth 1 Dye - Red,
Cotton Cloth - Red,Breakdown,2,,Breakdown,1 Cotton Jester's Clothes,
Cotton Cloth - Red,Breakdown,1,,Breakdown,1 Cotton Jester's Hat,
Cotton Cloth - Red,Breakdown,2,,Breakdown,1 Cotton Jester's Clothes - Red,
Cotton Cloth - Red,Breakdown,1,,Breakdown,1 Cotton Gloves - Mythic Dawn,
Cotton Cloth - Red,Breakdown,1,,Breakdown,1 Cotton Telvanni Robes of Resurgence,
Cotton Cloth - Red,Breakdown,2,,Breakdown,1 Silk Wedding Finery,
Cotton Cloth - Red,Breakdown,2,,Breakdown,1 Cotton Robes - Mythic Dawn,
Cotton Cloth - Red,Breakdown,2,,Breakdown,1 Cotton Robes - Mythic Dawn,
Cotton Cloth - Red,Breakdown,1,,Breakdown,1 Cotton Jester's Hat - Red,
Cotton Cloth - Red,Breakdown,1,,Breakdown,1 Cotton Hood - Mythic Dawn,
Cotton Cloth - Red,Breakdown,1,,Breakdown,1 Cotton Telvanni Robes,
Cotton Cloth - Tan,Breakdown,2,,Breakdown,1 Cotton Tall Boots,
Cotton Cloth - Tan,Breakdown,1,,Breakdown,1 Cotton Mage Hood - Common,
Cotton Cloth - Tan,Cook pot,1,Craftsmanship,Cook pot,1 Cotton Cloth 1 Dye - Tan,
Cotton Cloth - Tan,Breakdown,1,,Breakdown,1 Cotton Mage Hood of Novice Regeneration,
Cotton Cloth - Yellow,Cook pot,1,Craftsmanship,Cook pot,1 Cotton Cloth 1 Dye - Yellow,
Cotton Cuffed Boots,Player Crafting,1,Craftsmanship,Player Crafting,2 Cotton Thread 3 Cotton Cloth - Black,
Cotton Cultist Boots,Player Crafting,1,Craftsmanship,Player Crafting,2 Leather 2 Cotton Thread 2 Cotton Cloth - Brown,Dragonborn - Dragonborn Complete
Cotton Cultist Gloves,Player Crafting,1,Craftsmanship,Player Crafting,4 Bone Meal 2 Cotton Thread 2 Cotton Cloth - Brown,Dragonborn - Dragonborn Complete
Cotton Cultist Robes,Player Crafting,1,Craftsmanship,Player Crafting,3 Bone Meal 4 Leather 4 Cotton Thread 5 Cotton Cloth - Brown,Dragonborn - Dragonborn Complete
Cotton Fine Boots,Player Crafting,1,Craftsmanship,Player Crafting,6 Gold 1 Leather 2 Cotton Thread 3 Cotton Cloth - Brown,
Cotton Fine Clothes - Brown,Player Crafting,1,Craftsmanship,Player Crafting,2 Leather Strips 1 Leather 4 Cotton Thread 4 Cotton Cloth - Brown 1 Cotton Cloth - Grey,
Cotton Fine Clothes - Indigo,Player Crafting,1,Craftsmanship,Player Crafting,2 Leather Strips 1 Leather 4 Cotton Thread 1 Cotton Cloth - Black 4 Cotton Cloth - Indigo,
Cotton Fine Hat,Player Crafting,1,Craftsmanship,Player Crafting,1 Leather Strips 1 Pelt: Snow Fox 1 Cotton Thread 3 Cotton Cloth - Brown,
Cotton Fine Hat,Player Crafting,1,Craftsmanship,Player Crafting,1 Leather Strips 1 Fur Plate 1 Cotton Thread 3 Cotton Cloth - Brown,
Cotton Fine Shoes,Player Crafting,1,Craftsmanship,Player Crafting,1 Leather 2 Cotton Thread 2 Cotton Cloth - Brown,
Cotton Fur-Mantled Clothes - Blue,Player Crafting,1,Craftsmanship,Player Crafting,1 Pelt: Bear 2 Cotton Cloth 4 Cotton Thread 2 Cotton Cloth - Blue 1 Cotton Cloth - Indigo,
Cotton Fur-Mantled Clothes - Blue,Player Crafting,1,Craftsmanship,Player Crafting,2 Fur Plate 2 Cotton Cloth 4 Cotton Thread 2 Cotton Cloth - Blue 1 Cotton Cloth - Indigo,
Cotton Fur-Mantled Clothes - Green,Player Crafting,1,Craftsmanship,Player Crafting,2 Fur Plate 4 Cotton Thread 1 Cotton Cloth - Brown 4 Cotton Cloth - Green,
Cotton Fur-Mantled Clothes - Green,Player Crafting,1,Craftsmanship,Player Crafting,1 Pelt: Bear 4 Cotton Thread 1 Cotton Cloth - Brown 4 Cotton Cloth - Green,
Cotton Gloves - Mythic Dawn,Player Crafting,1,Craftsmanship,Player Crafting,1 Leather 2 Cotton Thread 2 Cotton Cloth - Red,Daedra - Pieces of the Past
Cotton Gloves - Thalmor,Player Crafting,1,Craftsmanship,Player Crafting,2 Cotton Thread 2 Cotton Cloth - Black,
Cotton Hood - Mythic Dawn,Player Crafting,1,Craftsmanship,Player Crafting,1 Cotton Thread 3 Cotton Cloth - Red,Daedra - Pieces of the Past
Cotton Hood - Thalmor,Player Crafting,1,Craftsmanship,Player Crafting,1 Cotton Thread 3 Cotton Cloth - Black,
Cotton Jester's Boots,Player Crafting,1,Craftsmanship,Player Crafting,2 Cotton Thread 3 Cotton Cloth - Black,
Cotton Jester's Clothes,Player Crafting,1,Craftsmanship,Player Crafting,1 Leather Strips 4 Cotton Thread 1 Cotton Cloth - Black 4 Cotton Cloth - Red,
Cotton Jester's Gloves,Player Crafting,1,Craftsmanship,Player Crafting,2 Cotton Thread 2 Cotton Cloth - Black,
Cotton Jester's Hat,Player Crafting,1,Craftsmanship,Player Crafting,1 Cotton Thread 1 Cotton Cloth - Black 2 Cotton Cloth - Red,
Cotton Mage Boots - Common,Player Crafting,1,Craftsmanship,Player Crafting,1 Leather 2 Cotton Thread 1 Cotton Cloth - Blue 2 Cotton Cloth - Grey,
Cotton Mage Boots - Embellished,Player Crafting,1,Craftsmanship,Player Crafting,1 Leather 2 Cotton Thread 1 Cotton Cloth - Brown 2 Cotton Cloth - Grey,
Cotton Mage Hood - Common,Player Crafting,1,Craftsmanship,Player Crafting,1 Cotton Thread 3 Cotton Cloth - Blue,
Cotton Mage Hood - Embellished,Player Crafting,1,Craftsmanship,Player Crafting,1 Cotton Thread 3 Cotton Cloth - Black,
Cotton Mage Hood - Embroidered,Player Crafting,1,Craftsmanship,Player Crafting,1 Cotton Thread 3 Cotton Cloth - Brown,
Cotton Mage Robes - Common,Player Crafting,1,Craftsmanship,Player Crafting,2 Leather Strips 1 Leather 4 Cotton Thread 3 Cotton Cloth - Blue 1 Cotton Cloth - Brown 1 Cotton Cloth - Tan,
Cotton Mage Robes - Embellished,Player Crafting,1,Craftsmanship,Player Crafting,2 Leather Strips 1 Leather 4 Cotton Thread 1 Cotton Cloth - Black 3 Cotton Cloth - Blue 1 Cotton Cloth - Brown,
Cotton Mage Robes - Embroidered,Player Crafting,1,Craftsmanship,Player Crafting,2 Leather Strips 1 Leather 4 Cotton Thread 2 Cotton Cloth - Brown 2 Cotton Cloth - Tan 1 Cotton Cloth - Yellow,
Cotton Merchant's Hat,Player Crafting,1,Craftsmanship,Player Crafting,1 Cotton Thread 3 Cotton Cloth - Brown,
Cotton Quilted Clothes - Black and White,Player Crafting,1,Craftsmanship,Player Crafting,2 Cotton Cloth 4 Cotton Thread 3 Cotton Cloth - Black,
Cotton Quilted Clothes - Blue,Player Crafting,1,Craftsmanship,Player Crafting,2 Leather Strips 1 Leather 4 Cotton Thread 2 Cotton Cloth - Blue 3 Cotton Cloth - Indigo,
Cotton Quilted Clothes - Brown and Orange,Player Crafting,1,Craftsmanship,Player Crafting,4 Cotton Thread 3 Cotton Cloth - Brown 2 Cotton Cloth - Orange,
Cotton Quilted Clothes - Brown and White,Player Crafting,1,Craftsmanship,Player Crafting,2 Cotton Cloth 4 Cotton Thread 3 Cotton Cloth - Brown,
Cotton Quilted Clothes - Orange,Player Crafting,1,Craftsmanship,Player Crafting,2 Leather Strips 1 Leather 4 Cotton Thread 4 Cotton Cloth - Brown 1 Cotton Cloth - Tan,
Cotton Quilted Clothes - Orange and Black,Player Crafting,1,Craftsmanship,Player Crafting,4 Cotton Thread 2 Cotton Cloth - Black 3 Cotton Cloth - Orange,
