Produced Item Name,Qty Made,Perks Needed,Items Required
Fragment: Dragonbone,7,,1 Dragonbone Warhammer (Good)
Fragment: Dragonbone,7,,1 Dragonbone Warhammer (Superlative)
Fragment: Dragonbone,3,,1 Dragonplate Boots (Crude)
Fragment: Dragonbone,3,,1 Dragonplate Boots (Good)
Fragment: Dragonbone,3,,1 Dragonplate Boots (Superlative)
Fragment: Dragonbone,9,,1 Dragonplate Cuirass (Crude)
Fragment: Dragonbone,9,,1 Dragonplate Cuirass (Good)
Fragment: Dragonbone,9,,1 Dragonplate Cuirass (Superlative)
Fragment: Dragonbone,3,,1 Dragonplate Gauntlets (Crude)
Fragment: Dragonbone,3,,1 Dragonplate Gauntlets (Good)
Fragment: Dragonbone,3,,1 Dragonplate Gauntlets (Superlative)
Fragment: Dragonbone,3,,1 Dragonplate Helmet (Crude)
Fragment: Dragonbone,3,,1 Dragonplate Helmet (Good)
Fragment: Dragonbone,3,,1 Dragonplate Helmet (Superlative)
Fragment: Dragonbone,4,,1 Dragonplate Shield (Crude)
Fragment: Dragonbone,4,,1 Dragonplate Shield (Good)
Fragment: Dragonbone,4,,1 Dragonplate Shield (Superlative)
Fragment: Dwarven,1,,1 Arrow: Dwarven
Fragment: Dwarven,1,,1 Bolt: Dwarven
Fragment: Dwarven,40,,1 Dwarven Battleaxe
Fragment: Dwarven,10,,1 Dwarven Bent Scrap
Fragment: Dwarven,12,,1 Dwarven Bowl
Fragment: Dwarven,15,,1 Dwarven Cog
Fragment: Dwarven,2,,1 Dwarven Cup
Fragment: Dwarven,1,,1 Dwarven Dagger
Fragment: Dwarven,210,,1 Dwarven Decorated Strut
Fragment: Dwarven,15,,1 Dwarven Engraved Bowl
Fragment: Dwarven,10,,1 Dwarven Fishing Rod
Fragment: Dwarven,1,,1 Dwarven Fork
Fragment: Dwarven,5,,1 Dwarven Gear
Fragment: Dwarven,40,,1 Dwarven Greatsword
Fragment: Dwarven,10,,1 Dwarven Gyro
Fragment: Dwarven,20,,1 Dwarven Handled Pan
Fragment: Dwarven,20,,1 Dwarven Heavy Boots
Fragment: Dwarven,40,,1 Dwarven Heavy Bow
Fragment: Dwarven,60,,1 Dwarven Heavy Crossbow
Fragment: Dwarven,80,,1 Dwarven Heavy Cuirass
Fragment: Dwarven,20,,1 Dwarven Heavy Gauntlets
Fragment: Dwarven,40,,1 Dwarven Heavy Helmet
Fragment: Dwarven,10,,1 Dwarven Hunting Knife
Fragment: Dwarven,40,,1 Dwarven Improved Light Crossbow
Fragment: Dwarven,1,,1 Dwarven Knife
Fragment: Dwarven,60,,1 Dwarven Large Plate Metal
Fragment: Dwarven,180,,1 Dwarven Large Strut
Fragment: Dwarven,10,,1 Dwarven Lever
Fragment: Dwarven,40,,1 Dwarven Mace
Fragment: Dwarven,40,,1 Dwarven Masterwork Light Crossbow
Fragment: Dwarven,60,,1 Dwarven Masterwork Light Crossbow
Fragment: Dwarven,12,,1 Dwarven Medium Bowl
Fragment: Dwarven,15,,1 Dwarven Pan
Fragment: Dwarven,10,,1 Dwarven Plate
Fragment: Dwarven,60,,1 Dwarven Pot
Fragment: Dwarven,55,,1 Dwarven Salvaged Cuirass
Fragment: Dwarven,5,,1 Dwarven Scrap Metal
Fragment: Dwarven,10,,1 Dwarven Shallow Bowl
Fragment: Dwarven,60,,1 Dwarven Shield
Fragment: Dwarven,5,,1 Dwarven Small Lever
Fragment: Dwarven,30,,1 Dwarven Small Plate Metal
Fragment: Dwarven,150,,1 Dwarven Solid Metal
Fragment: Dwarven,1,,1 Dwarven Spoon
Fragment: Dwarven,20,,1 Dwarven Sword
Fragment: Dwarven,80,,1 Dwarven Urn
Fragment: Dwarven,20,,1 Dwarven War Axe
Fragment: Dwarven,60,,1 Dwarven Warhammer
Fragment: Dwarven,60,,1 Horse Armor: Dwarven Barding and Saddle
Fragment: Dwarven,20,Dwarven Blacksmithing,1 Ingot: Dwarven
Fragment: Dwarven,40,,1 Spellbreaker Replica
Fragment: Ebony,1,,1 Arrow: Ebony
Fragment: Ebony,40,,1 Daedric Battlestaff
Fragment: Ebony,40,,1 Daedric Boots
Fragment: Ebony,80,,1 Daedric Cuirass
Fragment: Ebony,20,,1 Daedric Gauntlets
Fragment: Ebony,20,,1 Daedric Heavy Crossbow
Fragment: Ebony,40,,1 Daedric Helmet
Fragment: Ebony,10,,1 Daedric Hunting Knife
Fragment: Ebony,60,,1 Daedric Shield
Fragment: Ebony,20,,1 Dragonbone Battleaxe
Fragment: Ebony,10,,1 Dragonbone Dagger
Fragment: Ebony,20,,1 Dragonbone Greatsword
Fragment: Ebony,20,,1 Dragonbone Heavy Bow
Fragment: Ebony,20,,1 Dragonbone Heavy Crossbow
Fragment: Ebony,10,,1 Dragonbone Hunting Knife
Fragment: Ebony,10,,1 Dragonbone Mace
Fragment: Ebony,10,,1 Dragonbone Sword
Fragment: Ebony,10,,1 Dragonbone War Axe
Fragment: Ebony,20,,1 Dragonbone Warhammer
Fragment: Ebony,20,,1 Dragonplate Cuirass
Fragment: Ebony,20,,1 Dragonplate Shield
Fragment: Ebony,60,,1 Ebony Battleaxe
Fragment: Ebony,40,,1 Ebony Battlestaff
Fragment: Ebony,20,,1 Ebony Blade Replica
Fragment: Ebony,40,,1 Ebony Boots
Fragment: Ebony,40,,1 Ebony Boots - Gilded
Fragment: Ebony,40,,1 Ebony Boots - Silvered
Fragment: Ebony,80,,1 Ebony Cuirass
Fragment: Ebony,80,,1 Ebony Cuirass - Gilded
Fragment: Ebony,80,,1 Ebony Cuirass - Silvered
Fragment: Ebony,10,,1 Ebony Dagger
Fragment: Ebony,20,,1 Ebony Gauntlets
Fragment: Ebony,20,,1 Ebony Gauntlets - Gilded
Fragment: Ebony,20,,1 Ebony Gauntlets - Silvered
Fragment: Ebony,40,,1 Ebony Greatsword
Fragment: Ebony,40,,1 Ebony Heavy Bow
Fragment: Ebony,40,,1 Ebony Heavy Crossbow
Fragment: Ebony,40,,1 Ebony Helmet
Fragment: Ebony,40,,1 Ebony Helmet - Gilded
Fragment: Ebony,40,,1 Ebony Helmet - Silvered
Fragment: Ebony,10,,1 Ebony Hunting Knife
Fragment: Ebony,40,,1 Ebony Mace
Fragment: Ebony,80,,1 Ebony Mail Replica
Fragment: Ebony,60,,1 Ebony Mail Replica
Fragment: Ebony,60,,1 Ebony Mail Replica - Gilded
Fragment: Ebony,80,,1 Ebony Mail Replica - Gilded
Fragment: Ebony,60,,1 Ebony Mail Replica - Silvered
Fragment: Ebony,80,,1 Ebony Mail Replica - Silvered
Fragment: Ebony,60,,1 Ebony Shield
Fragment: Ebony,60,,1 Ebony Shield - Gilded
Fragment: Ebony,60,,1 Ebony Shield - Silvered
Fragment: Ebony,20,,1 Ebony Sword
Fragment: Ebony,20,,1 Ebony War Axe
Fragment: Ebony,60,,1 Ebony Warhammer
Fragment: Ebony,20,,1 Harkon's Sword Replica
Fragment: Ebony,60,,1 Horse Armor: Daedric Barding and Saddle
Fragment: Ebony,60,,1 Horse Armor: Ebony Barding and Saddle
Fragment: Ebony,80,,1 Horse Armor: Ebony Barding and Saddle - Mail
Fragment: Ebony,20,Ebony Blacksmithing,1 Ingot: Ebony
Fragment: Ebony,20,,1 Irkngthand War Axe
Fragment: Ebony,60,,1 Masque of Clavicus Vile Replica
Fragment: Ebony,20,,1 Nightingale Blade
Fragment: Ebony,40,,1 Nightingale Bow
Fragment: Ebony,60,,1 Shield of Ysgramor Replica
Fragment: Ebony,40,,1 Wuuthrad Replica
Fragment: Galatite,12,,1 Amulet of Talos Replica
Fragment: Galatite,1,,1 Arrow: Nordic
Fragment: Galatite,1,,1 Arrow: Skyforge Steel
Fragment: Galatite,40,,1 Bloodskal Blade Replica
Fragment: Galatite,40,,1 Circle Boots
Fragment: Galatite,80,,1 Circle Cuirass
Fragment: Galatite,20,,1 Circle Gauntlets
Fragment: Galatite,40,,1 Circle Helmet
Fragment: Galatite,60,,1 Circle Shield
Fragment: Galatite,20,Craftsmanship,1 Ingot: Galatite
Fragment: Galatite,1,,1 Nordic Dagger
Fragment: Galatite,10,,1 Skyforge Steel Dagger
Fragment: Gold,5,,1 Amulet of Julianos Replica
Fragment: Gold,20,,1 Dibella Statue
Fragment: Gold,20,,1 Ebony Cuirass - Gilded
Fragment: Gold,20,,1 Ebony Mail Replica - Gilded
Fragment: Gold,20,,1 Ebony Mail Replica - Gilded
Fragment: Gold,20,,1 Elven Cuirass - Gilded
Fragment: Gold,20,,1 Elven Cuirass - Thalmor Gilded
Fragment: Gold,3,,1 Gold Circlet
Fragment: Gold,10,,1 Gold Circlet
Fragment: Gold,10,,1 Gold Emerald Circlet (Flawless)
Fragment: Gold,2,,1 Gold Necklace
Fragment: Gold,1,,1 Gold Ring
Fragment: Gold,20,Advanced Blacksmithing,1 Ingot: Gold
Fragment: Gold,20,,1 Jewelled Dibella Statue
Fragment: Iron,40,,1 Ancient Nordic Battleaxe
Fragment: Iron,40,,1 Ancient Nordic Boots
Fragment: Iron,60,,1 Ancient Nordic Cuirass
Fragment: Iron,8,,1 Ancient Nordic Dagger
Fragment: Iron,20,,1 Ancient Nordic Gauntlets
Fragment: Iron,40,,1 Ancient Nordic Greatsword
Fragment: Iron,40,,1 Ancient Nordic Helmet - Antlers
Fragment: Iron,8,,1 Ancient Nordic Honed Dagger
Fragment: Iron,15,,1 Ancient Nordic Honed Warhammer
Fragment: Iron,20,,1 Ancient Nordic Light Bow
Fragment: Iron,15,,1 Ancient Nordic Mace
Fragment: Iron,20,,1 Ancient Nordic Sword
Fragment: Iron,20,,1 Ancient Nordic War Axe
Fragment: Iron,40,,1 Ancient Nordic Warhammer
Fragment: Iron,1,,1 Arrow: Ancient Nordic
Fragment: Iron,1,,1 Arrow: Iron
Fragment: Iron,1,,1 Bolt: Iron
Fragment: Iron,1,,1 Crushing Device
Fragment: Iron,20,,1 Fur Guard's Cuirass - Falkreath
Fragment: Iron,20,,1 Fur Guard's Cuirass - Haafingar
Fragment: Iron,20,,1 Fur Guard's Cuirass - Hjaalmarch
Fragment: Iron,20,,1 Fur Guard's Cuirass - The Pale
Fragment: Iron,20,,1 Fur Guard's Cuirass - The Reach
Fragment: Iron,20,,1 Fur Guard's Cuirass - The Rift
Fragment: Iron,20,,1 Fur Guard's Cuirass - Whiterun
Fragment: Iron,20,,1 Fur Guard's Cuirass - Winterhold
Fragment: Iron,10,,1 Imperial Dagger
Fragment: Iron,40,,1 Imperial Outcast Boots
Fragment: Iron,20,Craftsmanship,1 Ingot: Iron
Fragment: Iron,80,,1 Iron Banded Cuirass
Fragment: Iron,80,,1 Iron Banded Cuirass - Engraved
Fragment: Iron,80,,1 Iron Banded Masterwork Cuirass
Fragment: Iron,80,,1 Iron Banded Quality Cuirass
Fragment: Iron,60,,1 Iron Banded Quality Shield
Fragment: Iron,60,,1 Iron Banded Shield
Fragment: Iron,60,,1 Iron Battleaxe
Fragment: Iron,40,,1 Iron Battlestaff
Fragment: Iron,40,,1 Iron Boots
Fragment: Iron,40,,1 Iron Boots - Engraved
Fragment: Iron,55,,1 Iron Braced Vagabond Cuirass
Fragment: Iron,120,,1 Iron Cauldron
Fragment: Iron,10,,1 Iron Clothes Press
Fragment: Iron,10,,1 Iron Cooking Pot
Fragment: Iron,60,,1 Iron Cuirass
Fragment: Iron,60,,1 Iron Cuirass - Engraved
Fragment: Iron,10,,1 Iron Dagger
Fragment: Iron,10,,1 Iron Dish
Fragment: Iron,5,,1 Iron Embalming Drill
Fragment: Iron,10,,1 Iron Fittings
Fragment: Iron,1,,1 Iron Fork
Fragment: Iron,55,,1 Iron Furred Cuirass
Fragment: Iron,20,,1 Iron Gauntlets
Fragment: Iron,20,,1 Iron Gauntlets - Engraved
Fragment: Iron,60,,1 Iron Greatsword
Fragment: Iron,5,,1 Iron Hammer
Fragment: Iron,40,,1 Iron Headsman's Axe
Fragment: Iron,40,,1 Iron Heavy Crossbow
Fragment: Iron,60,,1 Iron Heavy Shield
Fragment: Iron,40,,1 Iron Helmet
Fragment: Iron,40,,1 Iron Helmet - Engraved
Fragment: Iron,40,,1 Iron Helmet - Ram
Fragment: Iron,5,,1 Iron Hinge
Fragment: Iron,10,,1 Iron Hunting Knife
Fragment: Iron,120,,1 Iron Kettle
Fragment: Iron,1,,1 Iron Knife
Fragment: Iron,10,,1 Iron Lantern
Fragment: Iron,25,,1 Iron Large Pot
Fragment: Iron,40,,1 Iron Large Shovel
Fragment: Iron,40,,1 Iron Light Guard's Helmet
Fragment: Iron,40,,1 Iron Light Guard's Helmet - Falkreath
Fragment: Iron,40,,1 Iron Light Guard's Helmet - Haafingar
Fragment: Iron,40,,1 Iron Light Guard's Helmet - Hjaalmarch
Fragment: Iron,40,,1 Iron Light Guard's Helmet - The Pale
Fragment: Iron,40,,1 Iron Light Guard's Helmet - The Reach
Fragment: Iron,40,,1 Iron Light Guard's Helmet - The Rift
Fragment: Iron,40,,1 Iron Light Guard's Helmet - Whiterun
Fragment: Iron,40,,1 Iron Light Guard's Helmet - Winterhold
Fragment: Iron,20,,1 Iron Light Guard's Shield - Eastmarch
Fragment: Iron,20,,1 Iron Light Guard's Shield - Falkreath
Fragment: Iron,20,,1 Iron Light Guard's Shield - Haafingar
Fragment: Iron,20,,1 Iron Light Guard's Shield - Hjaalmarch
Fragment: Iron,20,,1 Iron Light Guard's Shield - The Pale
Fragment: Iron,20,,1 Iron Light Guard's Shield - The Reach
Fragment: Iron,20,,1 Iron Light Guard's Shield - The Rift
Fragment: Iron,20,,1 Iron Light Guard's Shield - Whiterun
Fragment: Iron,20,,1 Iron Light Guard's Shield - Winterhold
Fragment: Iron,6,,1 Iron Lock
Fragment: Iron,40,,1 Iron Mace
Fragment: Iron,40,,1 Iron Mace Head
Fragment: Iron,20,,1 Iron Mace Hilt
Fragment: Iron,55,,1 Iron Makeshift Cuirass
Fragment: Iron,40,,1 Iron Masterwork Boots
Fragment: Iron,60,,1 Iron Masterwork Cuirass
Fragment: Iron,20,,1 Iron Masterwork Gauntlets
Fragment: Iron,40,,1 Iron Masterwork Helmet
Fragment: Iron,60,,1 Iron Masterwork Shield
Fragment: Iron,1,,1 Iron Nails
Fragment: Iron,20,,1 Iron Pickaxe
Fragment: Iron,20,,1 Iron Pitchfork
Fragment: Iron,10,,1 Iron Pot
Fragment: Iron,40,,1 Iron Quality Boots
Fragment: Iron,60,,1 Iron Quality Cuirass
Fragment: Iron,20,,1 Iron Quality Gauntlets
Fragment: Iron,40,,1 Iron Quality Helmet
Fragment: Iron,60,,1 Iron Quality Shield
Fragment: Iron,55,,1 Iron Robed Cuirass - Dark
Fragment: Iron,55,,1 Iron Robed Cuirass - Pale
Fragment: Iron,7,,1 Iron Serving Dish
Fragment: Iron,10,,1 Iron Shovel
Fragment: Iron,20,,1 Iron Sword
Fragment: Iron,20,,1 Iron Sword Blade
Fragment: Iron,5,,1 Iron Sword Hilt
Fragment: Iron,2,,1 Iron Tankard
Fragment: Iron,5,,1 Iron Tongs
Fragment: Iron,25,,1 Iron Torture Tools
Fragment: Iron,55,,1 Iron Vagabond Cuirass
Fragment: Iron,20,,1 Iron War Axe
Fragment: Iron,20,,1 Iron War Axe Head
Fragment: Iron,20,,1 Iron War Axe Hilt
Fragment: Iron,80,,1 Iron Warhammer
Fragment: Iron,10,,1 Iron Woodcutter's Axe
Fragment: Iron,1,,1 Lockpick
Fragment: Iron,55,,1 Mail and Hide
Fragment: Iron,55,,1 Mail and Jacket
Fragment: Iron,55,,1 Mail and Leather Surcoat
Fragment: Iron,55,,1 Mail and Leathers
Fragment: Iron,55,,1 Mail and Pauldroned Leather
Fragment: Iron,55,,1 Mail and Rugged Leather
Fragment: Iron,55,,1 Mail and Surcoat
Fragment: Iron,55,,1 Mail and Tunic
Fragment: Iron,55,,1 Oiled Mail and Hide
Fragment: Iron,55,,1 Oiled Mail and Jacket
Fragment: Iron,55,,1 Oiled Mail and Tunic
Fragment: Iron,55,,1 Robed Mail
Fragment: Iron,40,,1 Stormcloak Heavy Helmet
Fragment: Iron,20,,1 Stormcloak Light Cuirass
Fragment: Iron,20,,1 Stormcloak Sleeved Heavy Cuirass
Fragment: Iron,4,,1 Strong Box
Fragment: Iron,20,,1 Studded Cuirass
Fragment: Malachite,1,,1 Arrow: Glass
Fragment: Malachite,1,,1 Bolt: Glass
Fragment: Malachite,20,,1 Chillrend Replica
Fragment: Malachite,40,,1 Glass Battleaxe
Fragment: Malachite,40,,1 Glass Battlestaff
Fragment: Malachite,40,,1 Glass Boots
Fragment: Malachite,40,,1 Glass Boots - Thalmor
Fragment: Malachite,40,,1 Glass Boots - Vvardenfell
Fragment: Malachite,80,,1 Glass Cuirass
Fragment: Malachite,80,,1 Glass Cuirass - Thalmor
Fragment: Malachite,80,,1 Glass Cuirass - Vvardenfell
Fragment: Malachite,10,,1 Glass Dagger
Fragment: Malachite,20,,1 Glass Gauntlets
Fragment: Malachite,20,,1 Glass Gauntlets - Thalmor
Fragment: Malachite,20,,1 Glass Gauntlets - Vvardenfell
Fragment: Malachite,40,,1 Glass Greatsword
Fragment: Malachite,40,,1 Glass Helmet
Fragment: Malachite,40,,1 Glass Helmet - Thalmor
Fragment: Malachite,40,,1 Glass Helmet - Vvardenfell
Fragment: Malachite,10,,1 Glass Hunting Knife
Fragment: Malachite,40,,1 Glass Light Bow
Fragment: Malachite,40,,1 Glass Light Crossbow
Fragment: Malachite,40,,1 Glass Mace
Fragment: Malachite,60,,1 Glass Shield
Fragment: Malachite,60,,1 Glass Shield - Thalmor
Fragment: Malachite,60,,1 Glass Shield - Vvardenfell
Fragment: Malachite,20,,1 Glass Sword
Fragment: Malachite,20,,1 Glass War Axe
Fragment: Malachite,60,,1 Glass Warhammer
Fragment: Malachite,60,,1 Horse Armor: Divine Aegis Barding and Saddle
Fragment: Malachite,60,,1 Horse Armor: Frost Aegis Barding and Saddle
Fragment: Malachite,20,Glass Blacksmithing,1 Ingot: Malachite
Fragment: Moonstone,40,,1 Auriel's Shield Replica
Fragment: Moonstone,1,,1 Bolt: Elven
Fragment: Moonstone,60,,1 Horse Armor: Cleric Barding and Saddle
Fragment: Moonstone,60,,1 Horse Armor: Elven Barding and Saddle - Amber
Fragment: Moonstone,60,,1 Horse Armor: Elven Barding and Saddle - Dusk
Fragment: Moonstone,20,Elven Blacksmithing,1 Ingot: Moonstone
Fragment: Orichalcum,10,,1 Argonian Fishing Rod
Fragment: Orichalcum,1,,1 Arrow: Orcish
Fragment: Orichalcum,1,,1 Bolt: Orcish
Fragment: Orichalcum,20,Orcish Blacksmithing,1 Ingot: Orichalcum
Fragment: Orichalcum,40,,1 Orcish Battleaxe
Fragment: Orichalcum,10,,1 Orcish Dagger
Fragment: Orichalcum,40,,1 Orcish Greatsword
Fragment: Orichalcum,40,,1 Orcish Heavy Boots
Fragment: Orichalcum,40,,1 Orcish Heavy Bow
Fragment: Orichalcum,40,,1 Orcish Heavy Crossbow
Fragment: Orichalcum,80,,1 Orcish Heavy Cuirass
Fragment: Orichalcum,20,,1 Orcish Heavy Gauntlets
Fragment: Orichalcum,40,,1 Orcish Heavy Helmet
Fragment: Orichalcum,10,,1 Orcish Hunting Knife
Fragment: Orichalcum,40,,1 Orcish Mace
Fragment: Orichalcum,60,,1 Orcish Shield
Fragment: Orichalcum,20,,1 Orcish Sword
Fragment: Orichalcum,20,,1 Orcish War Axe
Fragment: Orichalcum,60,,1 Orcish Warhammer
Fragment: Orichalcum,10,,1 Orichalc Circlet
Fragment: Orichalcum,10,,1 Orichalc Sapphire Circlet
Fragment: Quicksilver,10,,1 Alik'ri Fishing Rod
Fragment: Quicksilver,10,,1 Amulet of the Kynareth Replica
Fragment: Quicksilver,20,,1 Dragonscale Cuirass
Fragment: Quicksilver,20,,1 Dragonscale Shield
Fragment: Quicksilver,20,Advanced Blacksmithing,1 Ingot: Quicksilver
Fragment: Silver,1,,1 Bolt: Silver
Fragment: Silver,20,,1 Ebony Cuirass - Silvered
Fragment: Silver,20,,1 Ebony Mail Replica - Silvered
Fragment: Silver,20,,1 Ebony Mail Replica - Silvered
Fragment: Silver,20,Advanced Blacksmithing,1 Ingot: Silver
Fragment: Silver,6,,1 Silver Adorned Bowl
Fragment: Silver,5,,1 Silver Bowl
Fragment: Silver,20,,1 Silver Candelabrum
Fragment: Silver,7,,1 Silver Candlestick
Fragment: Silver,7,,1 Silver Candlestick
Fragment: Silver,3,,1 Silver Circlet
Fragment: Silver,10,,1 Silver Circlet
Fragment: Silver,10,,1 Silver Emerald Circlet
Fragment: Silver,12,,1 Silver Ewer
Fragment: Silver,3,,1 Silver Goblet
Fragment: Silver,10,,1 Silver Greatsword
Fragment: Silver,4,,1 Silver Large Goblet
Fragment: Silver,2,,1 Silver Necklace
Fragment: Silver,7,,1 Silver Plate
Fragment: Silver,20,,1 Silver Platter
Fragment: Silver,1,,1 Silver Ring
Fragment: Silver,10,,1 Silver Ruby Circlet
Fragment: Silver,10,,1 Silver Sapphire Circlet (Flawless)
Fragment: Silver,10,,1 Silver Triple Candlestick
Fragment: Silver,5,,3 Silver Sword
Fragment: Steel,20,,1 Akaviri Katana
Fragment: Steel,10,,1 Amulet of Zenithar Replica
Fragment: Steel,40,,1 Armor of the Midnight Hunt
Fragment: Steel,40,,1 Armor of the Northern Hunt
Fragment: Steel,1,,1 Arrow: Ancient Nordic Hero
Fragment: Steel,1,,1 Arrow: Steel
Fragment: Steel,40,,1 Blades Boots
Fragment: Steel,80,,1 Blades Cuirass
Fragment: Steel,20,,1 Blades Gauntlets
Fragment: Steel,40,,1 Blades Helmet
Fragment: Steel,60,,1 Blades Shield
Fragment: Steel,1,,1 Bolt: Dark Brotherhood
Fragment: Steel,1,,1 Bolt: Dawnguard
Fragment: Steel,1,,1 Bolt: Imperial
Fragment: Steel,1,,1 Bolt: Steel
Fragment: Steel,1,,1 Bolt: Stormcloak
Fragment: Steel,1,,1 Bolt: Thieves Guild
Fragment: Steel,40,,1 Dark Brotherhood Heavy Crossbow
Fragment: Steel,20,,1 Dawnguard Heavy Boots
Fragment: Steel,60,,1 Dawnguard Heavy Cuirass
Fragment: Steel,60,,1 Dawnguard Heavy Cuirass
Fragment: Steel,20,,1 Dawnguard Heavy Gauntlets
Fragment: Steel,40,,1 Dawnguard Heavy Helmet
Fragment: Steel,40,,1 Dawnguard Improved Light Crossbow
Fragment: Steel,10,,1 Dawnguard Light Boots
Fragment: Steel,40,,1 Dawnguard Light Crossbow
Fragment: Steel,20,,1 Dawnguard Light Cuirass
Fragment: Steel,20,,1 Dawnguard Light Cuirass
Fragment: Steel,20,,1 Dawnguard Light Cuirass
Fragment: Steel,40,,1 Dawnguard Light Cuirass
Fragment: Steel,20,,1 Dawnguard Light Cuirass
Fragment: Steel,10,,1 Dawnguard Light Gauntlets
Fragment: Steel,10,,1 Dawnguard Light Helmet
Fragment: Steel,40,,1 Dawnguard Rune Shield Replica
Fragment: Steel,40,,1 Dawnguard Rune War Axe Replica
Fragment: Steel,80,,1 Dawnguard Rune Warhammer Replica
Fragment: Steel,40,,1 Dawnguard Shield
Fragment: Steel,40,,1 Dawnguard War Axe
Fragment: Steel,80,,1 Dawnguard Warhammer
Fragment: Steel,40,,1 Helm of Yngol Replica
Fragment: Steel,60,,1 Horse Armor: Black Hand Barding and Saddle
Fragment: Steel,60,,1 Horse Armor: Black Hand Barding and Saddle - Adorned
Fragment: Steel,60,,1 Horse Armor: Dawnguard Barding and Saddle
Fragment: Steel,60,,1 Horse Armor: Dawnguard Barding and Saddle - Adorned
Fragment: Steel,60,,1 Horse Armor: Imperial Barding and Saddle
Fragment: Steel,60,,1 Horse Armor: Nordic Barding and Saddle
Fragment: Steel,60,,1 Horse Armor: Stormcloak Barding and Saddle
Fragment: Steel,60,,1 Imperial Crested Heavy Helmet
Fragment: Steel,20,,1 Imperial General Cuirass
Fragment: Steel,20,,1 Imperial Heavy Boots
Fragment: Steel,40,,1 Imperial Heavy Bow
Fragment: Steel,20,,1 Imperial Heavy Bracers
Fragment: Steel,40,,1 Imperial Heavy Crossbow
Fragment: Steel,80,,1 Imperial Heavy Cuirass
Fragment: Steel,20,,1 Imperial Heavy Helmet
Fragment: Steel,60,,1 Imperial Heavy Shield
Fragment: Steel,20,,1 Imperial Light Shield
Fragment: Steel,20,,1 Imperial Mace
Fragment: Steel,40,,1 Imperial Officer Heavy Helmet
Fragment: Steel,20,,1 Imperial Shortsword
Fragment: Steel,20,,1 Imperial Sword
Fragment: Steel,20,Craftsmanship,1 Ingot: Steel
Fragment: Steel,20,,1 Jarl of Eastmarch Armguards
Fragment: Steel,80,,1 Jarl of Eastmarch Armor
Fragment: Steel,60,,1 Rueful Axe Replica
Fragment: Steel,40,,1 Savior's Hide Replica
Fragment: Steel,20,,1 Scaled Boots
Fragment: Steel,20,,1 Scaled Bracers
Fragment: Steel,20,,1 Scaled Cuirass
Fragment: Steel,20,,1 Scaled Cuirass - Horned
Fragment: Steel,40,,1 Scaled Helmet
Fragment: Steel,40,,1 Silver Battlestaff
Fragment: Steel,40,,1 Silver Greatsword
Fragment: Steel,20,,1 Silver Sword
Fragment: Steel,60,,1 Steel Battleaxe
Fragment: Steel,80,,1 Steel Battleaxe Head
Fragment: Steel,40,,1 Steel Battleaxe Hilt
Fragment: Steel,40,,1 Steel Battlestaff
Fragment: Steel,40,,1 Steel Boots
Fragment: Steel,40,,1 Steel Boots - White
Fragment: Steel,55,,1 Steel Braced Cuirass
Fragment: Steel,20,,1 Steel Bracers
Fragment: Steel,2,,1 Steel Buckles
Fragment: Steel,60,,1 Steel Cuirass
Fragment: Steel,80,,1 Steel Cuirass - White
Fragment: Steel,10,,1 Steel Dagger
Fragment: Steel,20,,1 Steel Death Hound Collar
Fragment: Steel,2,,1 Steel Embalming Pick
Fragment: Steel,55,,1 Steel Furred Plate Cuirass
Fragment: Steel,20,,1 Steel Gauntlets
Fragment: Steel,20,,1 Steel Gauntlets - White
Fragment: Steel,40,,1 Steel Greatsword
Fragment: Steel,60,,1 Steel Greatsword Blade
Fragment: Steel,25,,1 Steel Greatsword Hilt
Fragment: Steel,40,,1 Steel Greaves
Fragment: Steel,40,,1 Steel Heavy Crossbow
Fragment: Steel,40,,1 Steel Helmet
Fragment: Steel,40,,1 Steel Helmet - White
Fragment: Steel,40,,1 Steel Horned Helmet
Fragment: Steel,10,,1 Steel Hunting Knife
Fragment: Steel,40,,1 Steel Mace
Fragment: Steel,80,,1 Steel Pauldroned Cuirass
Fragment: Steel,80,,1 Steel Pauldroned Cuirass - White
Fragment: Steel,40,,1 Steel Plate Boots
Fragment: Steel,80,,1 Steel Plate Cuirass
Fragment: Steel,20,,1 Steel Plate Gauntlets
Fragment: Steel,40,,1 Steel Plate Helmet
Fragment: Steel,55,,1 Steel Robed Plate Cuirass
Fragment: Steel,10,,1 Steel Saw
Fragment: Steel,2,,1 Steel Scalpel
Fragment: Steel,20,,1 Steel Scimitar
Fragment: Steel,4,,1 Steel Shears
Fragment: Steel,60,,1 Steel Shield
Fragment: Steel,20,,1 Steel Sword
Fragment: Steel,20,,1 Steel Sword Blade
Fragment: Steel,10,,1 Steel Sword Hilt
Fragment: Steel,20,,1 Steel War Axe
Fragment: Steel,80,,1 Steel Warhammer
Fragment: Steel,80,,1 Steel Warhammer Head
Fragment: Steel,35,,1 Steel Warhammer Hilt
Fragment: Steel,40,,1 Stormcloak General Boots
Fragment: Steel,40,,1 Stormcloak Heavy Crossbow
Fragment: Steel,40,,1 Stormcloak Officer Boots
Fragment: Steel,1,,1 Stormcloak Officer Bracers
Fragment: Steel,40,,1 Stormcloak Officer Cuirass
Fragment: Steel,20,,1 Stormcloak Officer Helmet
Fragment: Steel,40,,1 Wolf Boots
Fragment: Steel,80,,1 Wolf Cuirass
