Name,Weight,Value,Base Rank,Base Solutions,Effects Rank,Effects
Polished Fox Eye,0.10,9,1,"Betayammis sa Goria   (Creatures),Mer Garlas sa Goria   (Flesh)",1,"Malatu Magicka sa Goria   (Arcane Energy),Agea Arden sa Goria   (Resistances)"
Polished Hare Eye,0.10,22,1,"Betayammis sa Goria   (Creatures),Mer Garlas sa Goria   (Flesh),Altadoon sa Goria   (Weapons)",2,"Karan Kogo sa Gravia   (Force),Mallari sa Gravia   (Metal)"
Polished Mammoth Eye,0.20,35,2,"Wel sa Gravia   (Air),Betayammis sa Gravia   (Creatures),Mer Garlas sa Gravia   (Flesh),Karan ry Ayammis sa Gravia   (Health)",5,"Karan Kogo sa Sila (Force),Agea Arden sa Sila (Resistances)"
Polished Sabre Cat Eye,0.10,34,1,"Betayammis sa Goria   (Creatures),Mer Garlas sa Goria   (Flesh),Latta sa Goria   (Light)",5,
Polished Slaughterfish Scales,0.10,29,1,"Wel sa Goria   (Air),Karan sa Goria   (Armor),Betayammis sa Goria   (Creatures),Relleis sa Goria   (Water)",1,"Malatu Magicka sa Goria   (Arcane Energy),Betaltadoon sa Goria   (Poisons),Agea Arden sa Goria   (Resistances),Relleis sa Goria   (Water)"
Polished Troll Eye,0.10,42,1,"Betayammis sa Goria   (Creatures),Mer Garlas sa Goria   (Flesh),Karan ry Ayammis sa Goria   (Health)",5,"Malatu Magicka sa Sila (Arcane Energy),Ayammis sa Sila (Life),Agea Arden sa Sila (Resistances)"
Polished Werewolf Eye,0.10,55,1,"Betayammis sa Goria   (Creatures),Mer Garlas sa Goria   (Flesh),Mer Ayammis sa Goria   (Mortals),Betaltadoon sa Goria   (Poisons),Altadoon sa Goria   (Weapons)",2,Malatu Magicka sa Gravia   (Arcane Energy)
Polished Wolf Eye,0.10,14,1,"Betayammis sa Goria   (Creatures),Mer Garlas sa Goria   (Flesh)",5,
Powdered Mammoth Tusk,0.10,25,1,"Wel sa Goria   (Air),Karan sa Goria   (Armor),Betayammis sa Goria   (Creatures),Ghartok sa Goria   (Stamina),Altadoon sa Goria   (Weapons)",2,Ayammis sa Gravia   (Life)
Powdered Mudcrab Chitin,0.10,18,0,"Betayammis sa Haelia   (Creatures),Mer Garlas sa Haelia   (Flesh),Karan ry Ayammis sa Haelia  (Health),Relleis sa Haelia  (Water)",1,"Karan ry Ayammis sa Goria   (Health),Betaltadoon sa Goria   (Poisons)"
Purple Mountain Flower,0.10,1,0,"Mora sa Haelia   (Nature),Ghartok sa Haelia   (Stamina),Relleis sa Haelia  (Water)",1,Malatu Magicka sa Goria   (Arcane Energy)
Pygmy Sunfish,0.25,34,0,,5,"Malatu Magicka sa Sila (Arcane Energy),Agea sa Sila (Magicka)"
Red Glitterdust,0.30,78,1,Bal sa Goria   (Earth),5,Betaltadoon sa Sila (Poisons)
Red Mountain Flower,0.10,1,0,"Agea sa Haelia   (Magicka),Mora sa Haelia   (Nature),Relleis sa Haelia  (Water)",1,Agea sa Goria   (Magicka)
River Betty,0.25,15,0,"Betayammis sa Haelia   (Creatures),Mer Garlas sa Haelia   (Flesh),Karan ry Ayammis sa Haelia  (Health),Betaltadoon sa Haelia   (Poisons),Relleis sa Haelia  (Water)",5,
Rock Warbler Egg,0.50,2,0,"Betayammis sa Haelia   (Creatures),Karan ry Ayammis sa Haelia  (Health),Ayammis sa Haelia   (Life),Relleis sa Haelia  (Water)",1,"Malatu Magicka sa Goria   (Arcane Energy),Karan Kogo sa Goria   (Force)"
Sabre Cat Claws,0.10,11,1,"Betayammis sa Goria   (Creatures),Agea sa Goria   (Magicka)",2,"Malatu Magicka sa Gravia   (Arcane Energy),Karan Kogo sa Gravia   (Force),Ayammis sa Gravia   (Life),Agea Arden sa Gravia   (Resistances)"
Sabre Cat Eye,0.10,12,1,"Betayammis sa Goria   (Creatures),Mer Garlas sa Goria   (Flesh),Latta sa Goria   (Light),Ghartok sa Goria   (Stamina),Relleis sa Goria   (Water)",1,"Malatu Magicka sa Goria   (Arcane Energy),Ayammis sa Goria   (Life)"
Sabre Cat Heart,1.00,35,1,"Betayammis sa Goria   (Creatures),Mer Garlas sa Goria   (Flesh)",2,Agea sa Gravia   (Magicka)
Sabre Cat Tooth,0.10,28,1,"Betayammis sa Goria   (Creatures),Ghartok sa Goria   (Stamina),Altadoon sa Goria   (Weapons)",2,"Karan Kogo sa Gravia   (Force),Agea Arden sa Gravia   (Resistances),Ghartok sa Gravia   (Stamina)"
Salmon Roe,0.20,2,1,"Betayammis sa Goria   (Creatures),Ghartok sa Goria   (Stamina),Relleis sa Goria   (Water)",5,"Karan Kogo sa Sila (Force),Agea sa Sila (Magicka),Agea Arden sa Sila (Resistances)"
Salt,0.20,5,0,"Rellers ry Molag sa Haelia   (Acid),Bal sa Haelia   (Earth),Betaltadoon sa Haelia   (Poisons),Relleis sa Haelia  (Water)",5,"Malatu Magicka sa Sila (Arcane Energy),Agea Arden sa Sila (Resistances)"
Sapphire Glitterdust,0.30,106,1,Bal sa Goria   (Earth),3,"Betaltadoon sa Baune   (Poisons),Agea Arden sa Baune   (Resistances),Relleis sa Baune   (Water)"
Scaly Pholiota,0.25,4,0,"Bal sa Haelia   (Earth),Mora sa Haelia   (Nature),Betaltadoon sa Haelia   (Poisons)",5,"Malatu Magicka sa Sila (Arcane Energy),Agea Arden sa Sila (Resistances)"
Scathecraw,0.10,8,0,"Karan ry Ayammis sa Haelia  (Health),Mora sa Haelia   (Nature),Betaltadoon sa Haelia   (Poisons)",1,"Rellers ry Molag sa Goria   (Acid),Karan ry Ayammis sa Goria   (Health)"
Silverside Perch,0.25,15,0,"Betayammis sa Haelia   (Creatures),Mer Garlas sa Haelia   (Flesh),Ghartok sa Haelia   (Stamina),Relleis sa Haelia  (Water)",5,"Malatu Magicka sa Sila (Arcane Energy),Ghartok sa Sila (Stamina)"
Skeever Tail,0.20,3,0,"Betayammis sa Haelia   (Creatures),Altadoon ry Bet sa Haelia   (Diseases),Mer Garlas sa Haelia   (Flesh),Betaltadoon sa Haelia   (Poisons),Ghartok sa Haelia   (Stamina)",5,
Slaughterfish Egg,0.20,3,0,"Betayammis sa Haelia   (Creatures),Ayammis sa Haelia   (Life),Betaltadoon sa Haelia   (Poisons),Agea Arden sa Haelia   (Resistances),Relleis sa Haelia  (Water)",2,Agea Arden sa Gravia   (Resistances)
Slaughterfish Scales,0.10,3,1,"Karan sa Goria   (Armor),Bal sa Goria   (Earth),Ghartok sa Goria   (Stamina),Relleis sa Goria   (Water)",3,Karan sa Baune   (Armor)
Small Pearl,0.10,35,1,"Karan sa Goria   (Armor),Bal sa Goria   (Earth),Agea Arden sa Goria   (Resistances),Ghartok sa Goria   (Stamina),Relleis sa Goria   (Water)",2,"Malatu Magicka sa Gravia   (Arcane Energy),Karan Kogo sa Gravia   (Force),Ayammis sa Gravia   (Life)"
Snowberries,0.10,1,0,"Molag sa Haelia   (Fire),Mafre sa Haelia   (Frost),Mora sa Haelia   (Nature),Agea Arden sa Haelia   (Resistances),Relleis sa Haelia  (Water)",2,"Malatu Magicka sa Gravia   (Arcane Energy),Agea Arden sa Gravia   (Resistances)"
Spadefish,0.25,49,0,,5,
Spawn Ash,0.10,13,2,"Molag sa Gravia   (Fire),Betaltadoon sa Gravia   (Poisons),Ghartok sa Gravia   (Stamina),Dunayammis sa Gravia   (Undead)",2,"Rellers ry Molag sa Gravia   (Acid),Malatu Magicka sa Gravia   (Arcane Energy)"
Spider Egg,0.20,5,1,"Betayammis sa Goria   (Creatures),Ayammis sa Goria   (Life),Betaltadoon sa Goria   (Poisons),Ghartok sa Goria   (Stamina),Relleis sa Goria   (Water)",5,
Spriggan Sap,0.20,50,2,"Volen Magicka sa Gravia   (Magical Constructs),Ayammis sa Gravia   (Life),Agea sa Gravia   (Magicka),Mora sa Gravia   (Nature),Betaltadoon sa Gravia   (Poisons)",5,Malatu Magicka sa Sila (Arcane Energy)
Strange Remains,0.75,774,2,"Latta sa Gravia   (Light),Ayammis Malata sa Gravia   (Souls)",2,Malatu Magicka sa Gravia   (Arcane Energy)
Swamp Fungal Pod,0.25,5,0,"Bal sa Haelia   (Earth),Mora sa Haelia   (Nature),Agea Arden sa Haelia   (Resistances),Wel sa Belle sa Haelia   (Shock),Relleis sa Haelia  (Water)",1,"Malatu Magicka sa Goria   (Arcane Energy),Karan ry Ayammis sa Goria   (Health)"
Taproot,0.50,15,2,"Volen Magicka sa Gravia   (Magical Constructs),Ayammis sa Gravia   (Life),Agea sa Gravia   (Magicka),Mora sa Gravia   (Nature),Betaltadoon sa Gravia   (Poisons)",4,"Malatu Magicka sa Adonai   (Arcane Energy),Karan Kogo sa Adonai   (Force),Agea sa Adonai   (Magicka),Agea Arden sa Adonai   (Resistances)"
Thistle Branch,0.10,1,0,"Mafre sa Haelia   (Frost),Mora sa Haelia   (Nature),Agea Arden sa Haelia   (Resistances),Relleis sa Haelia  (Water)",2,"Malatu Magicka sa Gravia   (Arcane Energy),Agea Arden sa Gravia   (Resistances)"
Torchbug Abdomen,0.04,1,0,"Wel sa Haelia   (Air),Betayammis sa Haelia   (Creatures),Molag sa Haelia   (Fire),Mer Garlas sa Haelia   (Flesh),Latta sa Haelia   (Light),Ghartok sa Haelia   (Stamina)",1,"Malatu Magicka sa Goria   (Arcane Energy),Karan Kogo sa Goria   (Force),Agea Arden sa Goria   (Resistances),Ghartok sa Goria   (Stamina)"
Trama Root,0.20,7,0,"Mora sa Haelia   (Nature),Betaltadoon sa Haelia   (Poisons),Wel sa Belle sa Haelia   (Shock)",5,
Troll Eye,0.10,29,1,"Betayammis sa Goria   (Creatures),Mer Garlas sa Goria   (Flesh),Karan ry Ayammis sa Goria   (Health)",5,
Troll Fat,1.00,25,1,"Betayammis sa Goria   (Creatures),Mer Garlas sa Goria   (Flesh),Betaltadoon sa Goria   (Poisons),Agea Arden sa Goria   (Resistances)",2,"Betaltadoon sa Gravia   (Poisons),Relleis sa Gravia   (Water)"
Troll Heart,2.00,101,1,"Betayammis sa Goria   (Creatures),Mer Garlas sa Goria   (Flesh),Betaltadoon sa Goria   (Poisons)",5,"Karan Kogo sa Sila (Force),Ghartok sa Sila (Stamina)"
Tundra Cotton,0.10,1,0,"Malatu Magicka sa Haelia   (Arcane Energy),Mora sa Haelia   (Nature),Agea Arden sa Haelia   (Resistances),Relleis sa Haelia  (Water)",2,"Karan Kogo sa Gravia   (Force),Agea Arden sa Gravia   (Resistances)"
Vampire Dust,0.20,318,2,"Altadoon ry Bet sa Gravia   (Diseases),Mer Garlas sa Gravia   (Flesh),Karan Kogo sa Gravia   (Force),Mer Ayammis sa Gravia   (Mortals),Latta sa Gravia   (Light),Dunayammis sa Gravia   (Undead)",2,
Void Salts,0.20,500,2,"Malatu Magicka sa Gravia   (Arcane Energy),Pellenni Ayammis sa Gravia   (Daedra),Bal sa Gravia   (Earth),Betaltadoon sa Gravia   (Poisons),Wel sa Belle sa Gravia   (Shock)",5,Agea Arden sa Sila (Resistances)
Werewolf Eye,0.10,33,1,"Betayammis sa Goria   (Creatures),Mer Garlas sa Goria   (Flesh),Mer Ayammis sa Goria   (Mortals)",4,
Werewolf Heart,0.50,42,1,"Betayammis sa Goria   (Creatures),Mer Garlas sa Goria   (Flesh),Mer Ayammis sa Goria   (Mortals)",3,"Karan ry Ayammis sa Baune   (Health),Betaltadoon sa Baune   (Poisons)"
Wheat,0.10,1,0,"Karan ry Ayammis sa Haelia  (Health),Ayammis sa Haelia   (Life),Mora sa Haelia   (Nature),Relleis sa Haelia  (Water)",5,"Karan ry Ayammis sa Sila (Health),Ayammis sa Sila (Life)"
White Cap,0.30,12,0,"Bal sa Haelia   (Earth),Mafre sa Haelia   (Frost),Mora sa Haelia   (Nature),Betaltadoon sa Haelia   (Poisons)",2,"Karan Kogo sa Gravia   (Force),Agea sa Gravia   (Magicka)"
Wisp Wrappings,0.10,30,2,"Mer ry Wel sa Gravia   (Apparitions),Malatu Magicka sa Gravia   (Arcane Energy),Karan sa Gravia   (Armor),Volen Magicka sa Gravia   (Magical Constructs),Mafre sa Gravia   (Frost),Latta sa Gravia   (Light),Ayammis Malata sa Gravia   (Souls),Ghartok sa Gravia   (Stamina)",4,"Malatu Magicka sa Adonai   (Arcane Energy),Karan Kogo sa Adonai   (Force)"
Wolf Claws,0.10,8,1,"Betayammis sa Goria   (Creatures),Karan ry Ayammis sa Goria   (Health),Betaltadoon sa Goria   (Poisons)",5,Karan Kogo sa Sila (Force)
Wolf Eye,0.10,5,1,"Betayammis sa Goria   (Creatures),Mer Garlas sa Goria   (Flesh)",1,Karan ry Ayammis sa Goria   (Health)
Wolf Heart,0.75,39,1,"Betayammis sa Goria   (Creatures),Mer Garlas sa Goria   (Flesh)",1,Betaltadoon sa Goria   (Poisons)
Yellow Mountain Flower,0.10,1,0,"Mora sa Haelia   (Nature),Betaltadoon sa Haelia   (Poisons),Agea Arden sa Haelia   (Resistances)",5,"Malatu Magicka sa Sila (Arcane Energy),Betaltadoon sa Sila (Poisons),Agea Arden sa Sila (Resistances)"
